,race,gender,date,zip,income,type,interest,term,principal,approved,adj_bls_2,id
31,hispanic/latino,male,2016-08-01,60637,41978,personal,17.71476500988702,12,4003,False,0.4,AP20168-3-79
32,black,female,2016-06-01,60637,43445,personal,6.082369300575093,48,33431,True,0.38,AP20166-0-74
33,black,male,2015-04-01,60625,177609,home,2.187952921273521,300,1212939,True,0.12,AP20154-2-24
34,white,male,2015-12-01,60614,157083,auto,6.075838109457242,84,123279,True,0.24,AP201512-2-34
35,other,female,2015-11-01,60614,136003,home,1.1402531723292508,240,1018900,True,0.12,AP201511-3-24
36,hispanic/latino,female,2016-03-01,60615,68902,auto,4.466497359420677,72,28995,False,0.36,AP20163-3-82
37,black,female,2011-09-01,60637,76020,home,3.6949721552984323,180,554391,False,0.08,AP20119-1-7
38,white,male,2017-05-01,60625,102282,auto,5.767215700177251,60,42492,True,0.91,AP20175-0-73
39,black,male,2016-10-01,60626,22909,personal,5.270880102146238,24,1010,False,0.4,AP201610-1-93
40,black,female,2017-12-01,60637,20305,personal,5.2736955978148226,12,2709,False,1.3,AP201712-0-93
41,hispanic/latino,female,2017-07-01,60625,20811,personal,19.893988550415607,48,1073,False,1.15,AP20177-2-19
42,white,male,2011-02-01,60611,98895,home,1.8713739071455306,300,624505,True,0.16,AP20112-1-35
43,black,male,2012-05-01,60637,17831,auto,6.413815557362739,60,4364,False,0.16,AP20125-3-68
44,other,female,2013-02-01,60623,20569,personal,3.123190795332748,60,9784,False,0.15,AP20132-1-38
45,white,female,2016-01-01,60615,36614,home,1.5865835492724492,300,258789,False,0.34,AP20161-1-9
46,hispanic/latino,male,2016-03-01,60625,19245,auto,6.279845453991856,72,12182,True,0.36,AP20163-2-1
47,black,female,2016-09-01,60623,26135,personal,13.165120512305633,12,9747,False,0.4,AP20169-2-67
48,black,female,2014-05-01,60637,21764,auto,4.954513975443592,72,28883,False,0.09,AP20145-2-3
49,white,male,2011-01-01,60614,110759,home,0.2967881488633167,360,1029723,False,0.17,AP20111-1-68
50,hispanic/latino,female,2018-10-01,60623,34102,personal,12.742216114143238,18,14405,True,2.19,AP201810-3-30
51,black,female,2013-01-01,60637,72561,home,0.33949655072760876,360,633764,False,0.14,AP20131-3-22
52,black,male,2017-08-01,60637,43948,home,2.3904084643095738,360,323434,False,1.16,AP20178-2-65
53,black,male,2017-05-01,60623,88336,auto,6.125532682942518,72,18281,False,0.91,AP20175-2-59
54,black,female,2017-07-01,60623,33241,auto,5.513962076852472,84,19870,False,1.15,AP20177-1-33
55,hispanic/latino,female,2015-05-01,60625,55411,personal,11.322537251460874,24,7400,False,0.12,AP20155-3-18
56,hispanic/latino,female,2015-04-01,60623,59484,home,1.5973946802068166,300,407347,False,0.12,AP20154-0-27
57,white,male,2013-07-01,60614,150768,home,1.0093271711842149,300,1189034,True,0.09,AP20137-1-63
58,other,male,2013-01-01,60626,17328,personal,5.095664298223219,48,2429,False,0.14,AP20131-0-8
59,black,female,2013-02-01,60615,21536,personal,11.521947110354102,12,11666,False,0.15,AP20132-2-95
60,black,female,2012-03-01,60637,18244,auto,6.157311272635858,72,18868,False,0.13,AP20123-3-64
61,hispanic/latino,male,2012-09-01,60623,14265,auto,4.689923849946179,60,21214,False,0.14,AP20129-2-50
62,white,female,2015-04-01,60614,26165,home,1.043988571914055,360,161305,False,0.12,AP20154-2-14
63,white,female,2016-04-01,60626,102191,home,6.415520382254557,180,679759,False,0.37,AP20164-3-2
64,asian,male,2012-12-01,60626,13770,auto,4.986198667383409,84,6225,False,0.16,AP201212-1-96
65,hispanic/latino,non-binary,2017-01-01,60625,27061,auto,6.875675977894538,60,42197,True,0.65,AP20171-1-19
66,black,female,2014-11-01,60637,25339,personal,11.57935533297302,12,7178,False,0.09,AP201411-2-75
67,white,female,2016-07-01,60626,41022,home,2.9988579354599283,360,266487,False,0.39,AP20167-1-94
68,black,male,2018-05-01,60637,25666,auto,7.0251036086562415,72,21624,False,1.7,AP20185-2-3
69,white,female,2018-03-01,60637,33665,personal,9.346490914761931,24,1381,False,1.51,AP20183-2-76
70,other,female,2013-12-01,60626,50783,auto,4.430894966854797,72,21332,False,0.09,AP201312-0-10
71,white,female,2017-09-01,60615,50791,auto,7.071445225729784,60,2631,False,1.15,AP20179-2-51
72,hispanic/latino,male,2017-02-01,60625,161708,home,4.884699505949189,360,1115256,True,0.66,AP20172-1-95
73,hispanic/latino,female,2011-03-01,60625,7006,auto,5.2340333247940665,84,8164,True,0.14,AP20113-3-71
74,white,female,2012-07-01,60614,73798,personal,9.345582402018842,12,20173,False,0.16,AP20127-0-64
75,black,male,2018-07-01,60626,41849,auto,7.4547028332430605,72,1107,False,1.91,AP20187-1-84
76,white,male,2016-02-01,60611,132006,home,4.5126453482268465,180,700804,True,0.38,AP20162-2-61
77,white,female,2018-03-01,60614,193585,home,5.976239455425879,180,1309537,False,1.51,AP20183-3-9
78,white,male,2013-10-01,60615,29606,auto,7.309962487492294,60,107,False,0.09,AP201310-1-75
79,black,male,2011-12-01,60615,40320,auto,5.9869965814778086,84,9111,False,0.07,AP201112-3-12
80,other,male,2016-01-01,60625,96683,home,1.119873444508624,240,623545,True,0.34,AP20161-2-86
81,hispanic/latino,male,2014-03-01,60623,48809,home,4.347136781959399,180,351441,False,0.08,AP20143-2-50
82,white,female,2017-06-01,60614,111147,auto,6.508605406769177,72,25052,True,1.04,AP20176-2-95
83,black,female,2017-06-01,60637,397,home,4.502378520474573,360,3765,False,1.04,AP20176-0-35
84,other,female,2013-02-01,60614,63891,home,4.128979731173296,300,393434,True,0.15,AP20132-0-100
85,white,male,2018-10-01,60614,93336,home,2.214927031455922,240,546803,True,2.19,AP201810-2-15
86,other,male,2018-01-01,60625,48187,home,4.279124419748285,360,327979,True,1.41,AP20181-1-53
87,white,female,2012-01-01,60614,48346,personal,12.344305052095672,48,6736,True,0.08,AP20121-3-25
88,black,male,2013-10-01,60623,25125,auto,4.776277122337333,72,23389,False,0.09,AP201310-0-47
89,white,male,2016-12-01,60626,41315,auto,4.4942022954084795,72,3924,False,0.54,AP201612-2-71
90,hispanic/latino,female,2015-02-01,60625,70585,home,2.7202152324177664,360,435414,True,0.11,AP20152-3-5
91,hispanic/latino,female,2017-07-01,60623,13135,home,7.36789431215349,240,109808,False,1.15,AP20177-1-35
92,other,male,2013-07-01,60637,2380,auto,4.560656214185685,84,14075,False,0.09,AP20137-3-26
93,black,female,2013-11-01,60626,14626,home,0.15880269946199904,180,109970,False,0.08,AP201311-3-18
94,white,male,2017-11-01,60626,15833,personal,10.793518657712756,60,8486,True,1.16,AP201711-2-94
95,black,female,2014-11-01,60626,103422,personal,15.534961639628534,48,9038,True,0.09,AP201411-3-67
96,white,female,2016-10-01,60611,42901,home,1.2005089573298986,360,303313,False,0.4,AP201610-3-25
97,asian,male,2016-02-01,60625,94675,home,5.5886526634740745,300,643060,True,0.38,AP20162-0-6
98,hispanic/latino,female,2017-09-01,60623,19947,auto,4.766401961138156,84,23378,False,1.15,AP20179-1-29
99,white,female,2017-03-01,60626,27625,home,2.925042826322587,360,212702,False,0.79,AP20173-1-71
100,white,female,2011-03-01,60625,55239,auto,4.559229560931317,60,30599,True,0.14,AP20113-1-46
101,white,male,2018-10-01,60637,99893,auto,7.600132441447867,60,65097,False,2.19,AP201810-0-100
102,black,male,2013-02-01,60623,11922,auto,5.298446429061985,60,21599,False,0.15,AP20132-1-36
103,white,female,2016-04-01,60614,145111,home,2.812225506771976,300,975053,True,0.37,AP20164-1-14
104,hispanic/latino,male,2017-09-01,60625,34090,home,3.3766729191111184,180,281199,False,1.15,AP20179-3-40
105,black,male,2018-08-01,60637,34099,personal,17.149432332000412,60,4325,True,1.91,AP20188-1-84
106,hispanic/latino,female,2011-10-01,60626,10010,personal,11.994269798215022,24,1876,False,0.07,AP201110-2-75
107,white,female,2013-11-01,60625,86145,home,1.4403580989619815,240,550023,True,0.08,AP201311-1-20
108,white,female,2017-11-01,60614,21769,personal,20.399864576164415,18,1870,False,1.16,AP201711-3-91
109,white,female,2016-08-01,60614,13063,home,6.036718731953263,360,119953,True,0.4,AP20168-2-60
110,white,male,2012-06-01,60611,150568,home,4.152407177231961,240,893641,True,0.16,AP20126-1-99
111,black,male,2016-02-01,60637,81715,home,2.4487464015941165,240,519255,False,0.38,AP20162-2-81
112,other,female,2011-12-01,60637,33633,personal,17.875748858129153,12,2663,False,0.07,AP201112-1-34
113,black,female,2018-09-01,60615,2023,personal,11.226044151336621,60,157,False,1.95,AP20189-3-76
114,other,male,2015-07-01,60614,60064,home,3.361947965929139,300,493276,True,0.13,AP20157-1-17
115,other,male,2018-12-01,60623,19606,personal,9.209993772355752,60,3832,False,2.27,AP201812-3-31
116,black,male,2012-02-01,60615,98850,home,5.699703437593087,240,625751,False,0.1,AP20122-1-93
117,other,female,2018-06-01,60615,69314,home,7.0145080635281865,360,539584,True,1.82,AP20186-0-93
118,black,female,2018-09-01,60623,34060,personal,8.741778962761241,48,5298,False,1.95,AP20189-0-27
119,hispanic/latino,female,2016-12-01,60623,41360,personal,9.699013945915873,12,20053,False,0.54,AP201612-3-65
120,white,male,2013-01-01,60614,4261,auto,6.530243938363299,84,15134,False,0.14,AP20131-3-18
121,other,female,2016-02-01,60626,32644,auto,6.166242659874551,60,506,False,0.38,AP20162-0-42
122,white,male,2016-07-01,60625,23881,personal,17.603685157744877,48,2257,False,0.39,AP20167-3-92
123,white,female,2018-10-01,60625,108628,home,5.114547407547009,240,668310,True,2.19,AP201810-3-89
124,white,female,2017-05-01,60614,12211,home,6.774880709679723,300,74460,False,0.91,AP20175-0-59
125,black,female,2015-09-01,60615,45912,personal,5.561541298580827,18,10660,False,0.14,AP20159-1-14
126,asian,female,2012-03-01,60614,150732,home,1.9641586317982966,180,950870,False,0.13,AP20123-0-3
127,hispanic/latino,female,2015-02-01,60623,18313,auto,5.909555170353055,72,35069,False,0.11,AP20152-0-87
128,white,male,2012-04-01,60625,146226,auto,3.1722533339590933,84,80452,True,0.14,AP20124-1-23
129,hispanic/latino,male,2017-05-01,60625,151311,home,7.455556974362798,360,759371,True,0.91,AP20175-1-42
130,other,female,2018-10-01,60637,61080,personal,11.17201075829716,12,8135,False,2.19,AP201810-2-48
131,other,female,2017-02-01,60623,6026,home,3.154116156748097,240,33978,False,0.66,AP20172-0-98
132,white,male,2014-02-01,60625,62300,home,5.06906646339178,240,471232,True,0.07,AP20142-2-90
133,other,female,2017-04-01,60623,50092,home,1.9654591645972483,360,355460,False,0.9,AP20174-2-99
134,black,female,2017-02-01,60623,55780,auto,5.296767128030019,72,3906,False,0.66,AP20172-1-84
135,white,female,2014-08-01,60615,20979,personal,20.257758244625563,12,9668,False,0.09,AP20148-1-21
136,hispanic/latino,female,2015-05-01,60626,1215,personal,14.508973097374652,60,227,False,0.12,AP20155-2-10
137,hispanic/latino,female,2011-07-01,60623,24869,personal,12.497595237520187,24,1322,False,0.07,AP20117-2-58
138,black,female,2017-07-01,60615,19416,home,2.1529901372742413,360,147258,False,1.15,AP20177-2-31
139,other,male,2017-07-01,60637,16019,personal,13.798198684623033,18,5987,False,1.15,AP20177-0-95
140,white,male,2017-06-01,60614,53542,auto,6.282535239544749,60,14967,True,1.04,AP20176-0-65
141,white,female,2016-02-01,60614,49082,auto,5.231458287590305,72,64986,True,0.38,AP20162-3-69
142,other,female,2015-12-01,60626,45305,personal,14.60773489172014,60,5580,True,0.24,AP201512-1-59
143,black,female,2016-10-01,60615,29238,auto,4.9483265196342945,84,4710,False,0.4,AP201610-3-12
144,black,male,2017-07-01,60637,63565,home,5.091658318292451,180,506005,False,1.15,AP20177-0-60
145,other,female,2018-06-01,60637,36799,home,3.0972763727447017,240,227135,False,1.82,AP20186-1-59
146,hispanic/latino,female,2013-05-01,60623,5599,auto,5.732319110720346,60,14661,False,0.11,AP20135-1-71
147,white,male,2016-03-01,60625,43144,auto,5.637172266930017,84,1319,False,0.36,AP20163-0-56
148,white,female,2018-07-01,60611,182855,home,2.572463922868974,180,1140486,False,1.91,AP20187-2-3
149,black,female,2015-11-01,60611,91818,home,6.140363425768346,300,557835,True,0.12,AP201511-1-77
150,hispanic/latino,female,2015-12-01,60626,62042,home,1.9553619880216435,360,470930,False,0.24,AP201512-0-0
151,white,female,2018-11-01,60614,93416,personal,9.246062138835795,18,23086,True,2.2,AP201811-2-20
152,black,male,2013-03-01,60637,18473,auto,4.941101667036239,84,19050,False,0.14,AP20133-2-24
153,white,female,2016-12-01,60615,63845,auto,5.259570084289792,84,22150,True,0.54,AP201612-0-100
154,black,female,2017-03-01,60615,50085,home,6.2874216348834215,240,301691,False,0.79,AP20173-3-73
155,black,female,2011-04-01,60615,122689,home,1.5941032056993814,360,902627,False,0.1,AP20114-3-59
156,other,male,2012-11-01,60637,58930,home,2.8364277707995855,240,375741,False,0.16,AP201211-3-56
157,hispanic/latino,male,2011-02-01,60623,40682,home,9.047239846210893,300,369418,True,0.16,AP20112-1-25
158,black,female,2018-09-01,60637,15594,personal,10.941901646872651,48,2770,False,1.95,AP20189-3-26
159,hispanic/latino,female,2018-04-01,60625,43197,auto,7.024231389548438,72,8991,True,1.69,AP20184-0-26
160,hispanic/latino,female,2015-07-01,60623,21498,auto,5.635711913139352,84,16527,False,0.13,AP20157-2-47
161,black,male,2013-02-01,60625,106822,home,5.401673465797682,360,793351,True,0.15,AP20132-3-6
162,white,female,2015-01-01,60615,40463,auto,5.009928998283689,72,32899,False,0.11,AP20151-1-51
163,other,female,2013-01-01,60625,81454,personal,18.005435951495762,12,1325,False,0.14,AP20131-1-71
164,white,male,2016-05-01,60625,68490,auto,6.352174593236833,72,9257,True,0.37,AP20165-0-93
165,white,male,2016-05-01,60626,10890,personal,8.346655794500412,12,929,False,0.37,AP20165-2-64
166,white,female,2013-04-01,60625,90985,home,1.1302571003181567,240,639066,True,0.15,AP20134-1-12
167,asian,female,2017-02-01,60626,22329,home,5.782293656559606,180,166922,False,0.66,AP20172-1-19
168,black,male,2017-10-01,60637,43967,auto,5.557588684133625,72,45926,False,1.15,AP201710-2-47
169,hispanic/latino,male,2016-05-01,60623,60962,auto,7.582344578639763,72,17276,False,0.37,AP20165-0-15
170,white,male,2018-06-01,60611,136155,home,4.318499794334486,360,878681,True,1.82,AP20186-0-91
171,black,male,2018-06-01,60615,13813,auto,5.78135576729693,72,11828,False,1.82,AP20186-1-7
172,white,female,2015-10-01,60626,64682,auto,5.370861902119001,84,1321,False,0.12,AP201510-3-21
173,hispanic/latino,female,2017-07-01,60623,40137,home,5.443470934924841,360,274107,False,1.15,AP20177-0-87
174,other,male,2017-12-01,60637,64900,home,1.3508786477020707,180,298526,False,1.3,AP201712-1-2
175,black,female,2018-05-01,60626,57786,home,2.7638911270674225,360,430092,False,1.7,AP20185-0-3
176,white,female,2016-12-01,60614,240065,auto,6.504783801076467,60,90897,True,0.54,AP201612-2-1
177,other,male,2011-02-01,60625,169603,auto,4.821637632743505,60,65319,True,0.16,AP20112-3-58
178,white,female,2011-01-01,60625,45936,auto,5.802088518733822,60,14982,True,0.17,AP20111-1-29
179,hispanic/latino,male,2012-09-01,60623,53500,home,3.633299467608022,300,359206,False,0.14,AP20129-0-67
180,white,female,2016-03-01,60611,85687,home,1.197229062024411,180,592913,False,0.36,AP20163-2-23
181,black,female,2017-12-01,60637,67703,auto,5.857976717071453,84,31489,True,1.3,AP201712-3-25
182,white,male,2014-04-01,60626,92934,home,0.8531042968190629,180,597871,False,0.09,AP20144-1-34
183,black,male,2011-01-01,60626,42622,personal,10.47790442109336,48,4024,False,0.17,AP20111-0-88
184,other,male,2012-01-01,60614,147217,home,1.4096386537671073,240,974134,True,0.08,AP20121-0-6
185,black,female,2016-05-01,60614,54190,home,2.801908908288829,180,372867,False,0.37,AP20165-0-28
186,white,female,2018-07-01,60615,80754,auto,7.280203628957024,60,52935,False,1.91,AP20187-0-1
187,white,female,2013-06-01,60626,23146,personal,9.096508530781517,24,4652,False,0.09,AP20136-2-22
188,other,female,2017-04-01,60614,95435,auto,5.281847630796242,72,8543,True,0.9,AP20174-3-52
189,black,male,2016-12-01,60615,107977,auto,7.55625364999321,60,60108,False,0.54,AP201612-1-96
190,black,female,2014-08-01,60637,56978,home,1.9837142105809582,240,445323,False,0.09,AP20148-3-90
191,white,male,2012-08-01,60626,45592,auto,6.037574953717199,72,44615,False,0.13,AP20128-1-82
192,black,female,2017-03-01,60637,1344,personal,11.321871921388883,60,183,False,0.79,AP20173-3-69
193,other,female,2015-05-01,60637,69780,auto,4.195714383152448,84,16752,False,0.12,AP20155-2-68
194,other,male,2016-07-01,60614,212085,home,2.1889585126079982,300,1798058,True,0.39,AP20167-1-87
195,black,female,2011-01-01,60623,21625,auto,3.158733286288573,84,15232,False,0.17,AP20111-2-4
196,hispanic/latino,male,2013-03-01,60615,79000,home,5.52223976592827,360,619507,True,0.14,AP20133-2-18
197,black,female,2014-06-01,60615,43155,auto,5.3375299007998,72,12269,False,0.1,AP20146-3-32
198,white,male,2012-08-01,60637,48250,home,2.8259591844676697,360,313471,False,0.13,AP20128-1-83
199,hispanic/latino,male,2015-01-01,60623,41194,home,0.49339880592229435,360,269349,False,0.11,AP20151-2-86
200,hispanic/latino,female,2018-11-01,60623,45000,personal,12.750610016225384,60,10219,True,2.2,AP201811-1-40
201,white,male,2017-06-01,60614,196147,home,4.770025684668692,180,1551712,False,1.04,AP20176-0-100
202,hispanic/latino,male,2018-07-01,60625,31083,personal,19.569576280777266,18,3233,False,1.91,AP20187-3-3
203,black,female,2017-04-01,60626,39349,personal,15.425422127917887,24,10149,True,0.9,AP20174-0-99
204,white,male,2011-03-01,60626,41210,personal,6.7985532486834375,60,2517,False,0.14,AP20113-2-0
205,black,male,2018-10-01,60623,24989,auto,6.134147401355593,84,25931,False,2.19,AP201810-0-77
206,other,male,2018-09-01,60623,45377,auto,6.890079221757032,72,32784,False,1.95,AP20189-1-35
207,white,female,2012-04-01,60625,66146,home,5.258932969811525,240,387468,True,0.14,AP20124-3-9
208,black,female,2013-07-01,60623,35999,auto,3.669934236335102,72,52200,False,0.09,AP20137-0-97
209,white,female,2012-04-01,60626,130779,home,2.809669307772991,360,1071129,True,0.14,AP20124-3-2
210,white,male,2017-04-01,60614,66493,auto,4.988704584966625,72,27421,True,0.9,AP20174-2-13
211,white,male,2015-09-01,60637,14954,personal,20.133033287405613,24,3935,False,0.14,AP20159-2-15
212,black,female,2016-02-01,60626,2153,auto,4.980593417801977,72,15576,False,0.38,AP20162-1-43
213,white,female,2017-03-01,60614,9421,personal,16.464293273674805,18,259,False,0.79,AP20173-1-27
214,hispanic/latino,male,2012-11-01,60623,29539,auto,5.24289228900725,84,198,False,0.16,AP201211-0-60
215,black,female,2013-02-01,60615,69685,home,4.975022289505777,360,647333,True,0.15,AP20132-0-76
216,other,male,2018-01-01,60615,87804,home,2.470708904231768,180,606495,False,1.41,AP20181-3-89
217,hispanic/latino,male,2018-10-01,60623,48415,personal,16.943471381238037,18,31273,True,2.19,AP201810-2-14
218,hispanic/latino,female,2012-08-01,60623,34986,home,0.502670425471636,360,188239,False,0.13,AP20128-1-24
219,black,female,2014-12-01,60625,106865,auto,6.199095835630669,60,74075,True,0.12,AP201412-1-53
220,white,female,2015-03-01,60611,31208,personal,7.047521143743038,18,212,False,0.11,AP20153-1-30
221,other,female,2013-01-01,60626,41657,auto,5.773431261479582,84,23628,True,0.14,AP20131-0-72
222,white,female,2012-07-01,60614,231238,home,2.2656241434173685,240,1783470,True,0.16,AP20127-1-4
223,white,female,2012-05-01,60614,165466,home,1.8390119015493582,300,1209279,True,0.16,AP20125-0-78
224,white,male,2015-01-01,60626,65876,personal,8.201924320917707,48,7924,True,0.11,AP20151-1-66
225,hispanic/latino,female,2017-02-01,60623,13030,personal,10.556454539088898,24,2450,False,0.66,AP20172-3-70
226,hispanic/latino,male,2017-09-01,60625,31889,home,6.7592411704546205,360,206345,True,1.15,AP20179-2-86
227,hispanic/latino,female,2018-02-01,60626,70680,home,3.5108960883413536,300,433937,False,1.42,AP20182-3-28
228,hispanic/latino,male,2016-07-01,60623,52255,personal,8.618502407241138,18,3373,False,0.39,AP20167-1-20
229,black,female,2013-01-01,60623,7594,personal,11.070454951875531,24,725,False,0.14,AP20131-1-16
230,black,male,2015-10-01,60637,790,auto,5.720029870247329,72,14851,False,0.12,AP201510-2-70
231,white,female,2014-09-01,60614,18884,auto,5.4633223813384415,60,10643,True,0.09,AP20149-3-100
232,white,male,2017-09-01,60614,183589,personal,13.301096851326061,18,4721,False,1.15,AP20179-2-0
233,black,female,2013-03-01,60623,22280,personal,12.448564501406615,48,8107,True,0.14,AP20133-2-87
234,white,male,2016-11-01,60637,63635,auto,5.245106607826438,84,66466,False,0.41,AP201611-3-97
235,hispanic/latino,female,2013-03-01,60626,16869,personal,7.274204735799443,12,7300,False,0.14,AP20133-0-3
236,white,female,2017-08-01,60625,21751,personal,13.05373647951171,12,6402,False,1.16,AP20178-1-41
237,black,female,2013-09-01,60623,22697,personal,10.798497818715152,12,5721,False,0.08,AP20139-0-12
238,black,male,2018-01-01,60615,53937,home,4.718105864155486,360,379131,False,1.41,AP20181-0-79
239,black,male,2018-07-01,60614,10379,auto,8.875845841947916,84,16177,True,1.91,AP20187-2-24
240,black,female,2017-10-01,60623,46157,personal,5.516990168223007,18,13197,False,1.15,AP201710-3-19
241,asian,female,2018-04-01,60625,17787,auto,7.308592064329382,72,19214,True,1.69,AP20184-0-53
242,hispanic/latino,male,2017-07-01,60626,12184,auto,4.952585826396094,84,22711,False,1.15,AP20177-1-21
243,white,male,2017-12-01,60614,208300,home,3.884609205243544,360,1323547,True,1.3,AP201712-3-98
244,black,male,2012-11-01,60625,21929,home,2.7201836105849853,240,198409,False,0.16,AP201211-2-33
245,white,male,2017-02-01,60614,248595,auto,7.380013554595354,72,37378,True,0.66,AP20172-0-55
246,white,female,2013-02-01,60615,1546,auto,5.290034707599865,84,14946,False,0.15,AP20132-1-46
247,hispanic/latino,male,2017-11-01,60625,13152,personal,9.785113735198205,18,1146,False,1.16,AP201711-2-79
248,black,female,2012-06-01,60637,13617,personal,10.06342432779375,48,3025,False,0.16,AP20126-1-70
249,white,female,2013-08-01,60611,168263,auto,5.02865033944456,72,35871,True,0.08,AP20138-3-28
250,white,female,2016-05-01,60614,38963,auto,5.453225804643527,72,8136,True,0.37,AP20165-2-50
251,other,female,2017-09-01,60626,8349,personal,6.588132590174686,48,643,False,1.15,AP20179-2-22
252,other,female,2017-01-01,60623,45383,personal,9.351648575820477,60,26548,True,0.65,AP20171-3-95
253,other,female,2012-08-01,60614,39600,auto,3.670337078704783,84,37195,True,0.13,AP20128-3-78
254,white,male,2016-08-01,60625,85720,auto,4.700700312354432,72,50788,True,0.4,AP20168-0-71
255,black,male,2018-01-01,60637,46021,home,4.291975617244623,240,286660,False,1.41,AP20181-2-40
256,hispanic/latino,female,2016-08-01,60625,99264,home,5.237879850636192,300,438232,True,0.4,AP20168-1-26
257,white,female,2016-02-01,60615,58373,auto,5.8079546762490315,72,10531,False,0.38,AP20162-0-73
258,hispanic/latino,male,2016-01-01,60623,56791,home,1.7433673790155793,300,520338,False,0.34,AP20161-0-11
259,hispanic/latino,male,2014-10-01,60626,27001,personal,13.052304350152534,18,1073,False,0.09,AP201410-0-39
260,other,male,2017-04-01,60615,50153,personal,9.684853194665788,24,10391,True,0.9,AP20174-3-47
261,white,male,2018-02-01,60637,38347,personal,17.415849004912793,60,4979,True,1.42,AP20182-2-80
262,other,male,2013-12-01,60625,79531,home,2.2871285450955705,180,510725,False,0.09,AP201312-2-83
263,other,female,2012-03-01,60637,59637,home,1.8917876398217959,180,320453,False,0.13,AP20123-3-20
264,black,male,2017-07-01,60637,57915,home,6.282795914021939,240,256260,False,1.15,AP20177-2-88
265,white,male,2016-11-01,60614,100730,auto,4.5002060149389544,72,44320,True,0.41,AP201611-1-54
266,other,female,2017-07-01,60637,76271,auto,5.49218281021359,72,2970,False,1.15,AP20177-3-90
267,white,female,2016-07-01,60614,155288,auto,5.362832138240707,72,41317,True,0.39,AP20167-2-81
268,white,male,2017-10-01,60625,88662,personal,22.25939839058088,12,30810,True,1.15,AP201710-2-97
269,asian,female,2018-07-01,60625,48534,auto,7.606849642141263,72,15238,True,1.91,AP20187-3-67
270,black,male,2018-09-01,60615,22263,auto,5.264484995178132,72,5820,False,1.95,AP20189-2-34
271,black,female,2011-07-01,60637,55759,auto,6.258397845666863,84,44918,False,0.07,AP20117-1-98
