race,gender,date,zip,income,type,interest,term,principal,approved,adj_bls_2,id
other,female,2018-05-01,60611,,home,2.680698458390464,240,529649.0,True,1.7,AP20185-0-20
white,male,2018-02-01,60614,176976.0,auto,7.103849164909975,84,63372.0,True,1.42,AP20182-2-52
hispanic/latino,female,2018-04-01,60623,5528.0,auto,4.010787786314237,84,19937.0,False,1.69,AP20184-0-60
other,non-binary,2018-10-01,60614,168144.0,auto,6.85839957715732,84,12747.0,True,2.19,AP201810-2-11
hispanic/latino,female,2013-07-01,60623,32689.0,auto,4.135743531837515,84,23294.0,False,0.09,AP20137-0-83
other,male,2017-05-01,60615,31867.0,personal,7.832802944683939,48,,False,0.91,AP20175-3-17
black,female,2015-04-01,60637,40784.0,home,2.918700048433163,360,255786.0,False,0.12,AP20154-0-96
black,female,2018-01-01,60637,73151.0,auto,5.696238707550237,72,59574.0,False,1.41,AP20181-0-32
black,male,2018-05-01,60637,118264.0,home,6.728972784504342,360,998456.0,True,1.7,AP20185-1-49
asian,female,2017-11-01,60614,95919.0,home,2.5925292616543434,180,557458.0,True,1.16,AP201711-2-94
hispanic/latino,male,2016-11-01,60625,80234.0,home,1.7676160827896936,180,492413.0,False,0.41,AP201611-0-44
black,male,2018-03-01,60637,27319.0,auto,6.847505745839285,60,2384.0,False,1.51,AP20183-0-35
other,male,2011-06-01,60615,45668.0,home,3.1537044484637375,360,350370.0,False,0.09,AP20116-1-61
hispanic/latino,female,2016-08-01,60626,47864.0,personal,15.97459874523462,18,7800.0,False,0.4,AP20168-3-8
black,female,2011-05-01,60637,24086.0,home,3.902168018502291,360,175216.0,False,0.09,AP20115-1-32
black,male,2017-09-01,60626,62026.0,auto,6.007318500146944,84,54046.0,False,1.15,AP20179-3-36
black,male,2013-06-01,60637,16232.0,auto,4.572485085372425,72,11624.0,False,0.09,AP20136-0-49
black,female,2016-06-01,60623,1320.0,personal,18.268070962115164,12,420.0,False,0.38,AP20166-2-75
black,female,2017-08-01,60615,37729.0,personal,16.044814373298188,24,7159.0,True,1.16,AP20178-1-64
hispanic/latino,male,2018-05-01,60623,959.0,personal,9.782298150288671,18,122.0,False,1.7,AP20185-3-64
other,male,2017-08-01,60625,24779.0,auto,7.670105678737708,72,15384.0,True,1.16,AP20178-1-75
black,male,2011-12-01,60637,66667.0,home,4.365837547429874,360,521231.0,False,0.07,AP201112-1-44
Black,female,2013-02-01,60626,43169.0,personal,8.858303561107409,48,9976.0,True,0.15,AP20132-1-4
asian,female,2018-10-01,60625,83321.0,auto,6.399144758749397,72,15113.0,True,2.19,AP201810-1-33
hispanic/latino,male,2011-05-01,60623,31067.0,auto,5.429736039588739,72,18601.0,False,0.09,AP20115-2-32
other,male,2015-11-01,60623,9797.0,personal,13.097319020480546,24,766.0,False,0.12,AP201511-1-64
hispanic/latino,male,2013-08-01,60626,61163.0,home,3.4149084703260826,360,323026.0,False,0.08,AP20138-0-33
hispanic/latino,male,2015-04-01,60625,59621.0,auto,3.718881707478691,60,5779.0,False,0.12,AP20154-0-72
,male,2016-08-01,60614,254814.0,home,5.127917585704599,360,2261208.0,True,0.4,AP20168-2-100
white,female,2013-11-01,60625,18478.0,personal,6.874205888217819,48,3829.0,False,0.08,AP201311-0-48
white,male,2014-04-01,60637,3888.0,auto,3.9994966034408828,72,15283.0,False,0.09,AP20144-2-11
hispanic/latino,male,2017-06-01,60623,14030.0,auto,,60,13115.0,False,1.04,AP20176-2-22
white,female,2018-09-01,60625,57536.0,personal,8.537859124532671,18,6401.0,False,1.95,AP20189-3-7
hispanic/latino,male,2017-07-01,60623,69613.0,personal,4.659233795392877,60,2257.0,False,1.15,AP20177-2-78
other,female,2016-03-01,60626,72303.0,auto,7.774679902196787,72,11737.0,False,0.36,AP20163-3-31
white,female,2013-09-01,60611,94898.0,home,2.591640553463222,360,737102.0,True,0.08,AP20139-1-78
black,female,2014-08-01,60623,80239.0,home,3.2417446752281154,180,587622.0,False,0.09,AP20148-1-14
hispanic/latino,female,2015-08-01,60623,4208.0,auto,4.576801131294312,72,16339.0,False,0.14,AP20158-2-41
white,male,2013-05-01,60625,34458.0,personal,11.047468890054393,60,9822.0,True,0.11,AP20135-3-86
black,female,2012-09-01,60623,31134.0,home,3.491208262663766,360,232558.0,False,0.14,AP20129-2-58
other,male,2017-01-01,60623,15189.0,personal,11.5092878567102,60,260.0,False,0.65,AP20171-0-90
hispanic/latino,female,2017-05-01,60625,47158.0,auto,6.991340471257422,72,5698.0,True,0.91,AP20175-3-25
white,male,2016-03-01,60614,220303.0,personal,18.47931027887562,60,17436.0,True,0.36,AP20163-2-52
black,female,2018-06-01,60623,32235.0,personal,15.16792736627064,18,7201.0,False,1.82,AP20186-0-48
white,female,2017-08-01,60625,51533.0,auto,5.79451264567069,72,18235.0,True,1.16,AP20178-0-38
black,male,2015-02-01,60626,11071.0,home,8.754808480163636,180,89597.0,False,0.11,AP20152-3-38
,male,2013-11-01,60611,135183.0,home,0.9407280621454522,300,781752.0,True,0.08,AP201311-1-99
hispanic/latino,male,2018-04-01,60625,95774.0,auto,6.157171773657977,60,69.0,False,1.69,AP20184-3-92
white,female,2018-09-01,60614,130525.0,home,3.4058832367538474,180,825324.0,False,1.95,AP20189-3-85
black,female,2014-03-01,60626,79170.0,home,4.072975852889763,360,477126.0,False,0.08,AP20143-3-88
black,male,2015-01-01,60623,3905.0,auto,4.739206861129613,72,14908.0,False,0.11,AP20151-0-19
hispanic/latino,male,2017-02-01,60625,96321.0,home,3.060664189173788,240,724227.0,True,0.66,AP20172-0-40
asian,male,2012-11-01,60625,94708.0,home,6.158806089583198,360,721793.0,True,0.16,AP201211-3-51
white,female,2013-11-01,60614,241997.0,home,0.6764767267225887,360,1187701.0,True,0.08,AP201311-0-19
white,female,2015-10-01,60625,26044.0,home,5.171513043326084,240,131409.0,True,0.12,AP201510-2-73
white,female,2016-07-01,60614,69982.0,auto,4.992205827339946,60,26581.0,True,0.39,AP20167-3-9
white,female,2017-05-01,60615,56756.0,personal,13.027365965891457,18,30984.0,True,0.91,AP20175-2-63
white,female,2011-08-01,60614,80613.0,home,6.161500936803664,180,669333.0,False,0.1,AP20118-2-4
black,male,2018-11-01,60615,114884.0,home,4.09034674606852,360,819979.0,True,2.2,AP201811-0-25
white,female,2018-11-01,60637,,auto,7.523742386724076,84,19141.0,True,2.2,AP201811-2-85
other,male,2018-06-01,60625,1579.0,personal,13.66012614663085,12,326.0,False,1.82,AP20186-2-63
Black,male,2014-04-01,60637,,auto,4.950999406450718,72,16359.0,False,0.09,AP20144-0-78
hispanic/latino,female,2016-01-01,60623,58874.0,auto,5.991761742206039,72,44379.0,False,0.34,AP20161-1-2
asian,female,2017-10-01,60626,22888.0,personal,18.85998237852306,48,3158.0,True,1.15,AP201710-1-45
white,male,2018-10-01,60611,37316.0,personal,7.9573037015218056,24,19926.0,True,2.19,AP201810-3-92
other,male,2018-04-01,60625,13150.0,personal,,12,5995.0,False,1.69,AP20184-2-62
hispanic/latino,male,2016-03-01,60614,82703.0,personal,5.895527897968081,18,2172.0,False,0.36,AP20163-1-68
white,female,2014-11-01,60614,,personal,17.037588559553992,18,9863.0,True,0.09,AP201411-0-82
hispanic/latino,female,2013-07-01,60625,32790.0,auto,4.873957471549836,60,5926.0,False,0.09,AP20137-2-13
white,female,2011-10-01,60626,54346.0,home,5.194516001149438,180,470587.0,False,0.07,AP201110-3-23
hispanic/latino,male,2018-09-01,60625,8414.0,personal,7.8833485827279235,24,1458.0,False,1.95,AP20189-2-70
white,female,2016-07-01,60614,93379.0,home,7.006398295572076,360,666873.0,True,0.39,AP20167-0-92
African-American,,2013-08-01,60614,74460.0,home,6.261217762116661,180,578216.0,False,0.08,AP20138-1-35
hispanic/latino,female,2017-08-01,60623,47734.0,auto,6.164880633833441,84,5103.0,False,1.16,AP20178-0-61
white,female,2017-10-01,60625,76994.0,home,3.5845319445471016,360,525652.0,True,1.15,AP201710-1-21
hispanic/latino,male,2017-07-01,60625,28454.0,auto,7.2272006699839295,60,24828.0,True,1.15,AP20177-2-92
white,male,2016-03-01,60614,66496.0,home,4.200334633827378,240,517920.0,False,0.36,AP20163-1-84
white,female,2011-06-01,60637,19489.0,personal,12.54634602135904,24,3815.0,False,0.09,AP20116-3-60
black,male,2014-11-01,60623,37823.0,home,3.145408786148718,240,283974.0,False,0.09,AP201411-0-78
white,male,2014-09-01,60611,88896.0,home,1.9646810034862734,240,639612.0,True,0.09,AP20149-0-81
hispanic/latino,male,2015-12-01,60623,6539.0,auto,3.6741473490567023,84,13942.0,False,0.24,AP201512-1-19
white,female,2013-09-01,60611,32490.0,home,0.2634232608580391,240,259483.0,False,0.08,AP20139-2-71
hispanic/latino,female,2013-11-01,60623,40785.0,personal,6.724798366420184,18,6094.0,False,0.08,AP201311-2-48
white,female,2018-11-01,60614,192673.0,home,5.655964215310039,360,1095550.0,True,2.2,AP201811-0-0
black,female,2018-04-01,60615,90888.0,auto,5.078006648073529,84,12201.0,False,1.69,AP20184-1-11
hispanic/latino,female,2016-03-01,60626,20937.0,personal,14.274471700292057,24,4201.0,False,0.36,AP20163-0-52
black,female,2017-06-01,60623,75023.0,auto,8.468847560274583,60,39142.0,False,1.04,AP20176-0-40
white,male,2011-09-01,60626,28474.0,home,3.3907733230483066,180,239732.0,False,0.08,AP20119-3-1
black,female,2012-01-01,60637,21929.0,home,2.926141477963135,360,159138.0,False,0.08,AP20121-2-76
Black,male,2018-11-01,60637,15365.0,personal,13.418527917504807,48,2459.0,False,2.2,AP201811-2-45
other,female,2016-02-01,60626,1672.0,personal,7.179016380461262,12,316.0,False,0.38,AP20162-1-100
black,male,2017-10-01,60637,37910.0,home,1.653343940800228,360,263696.0,False,1.15,AP201710-2-57
black,female,2016-12-01,60615,26176.0,auto,6.332763033232513,72,7506.0,False,0.54,AP201612-2-95
other,female,2017-10-01,60611,125391.0,home,5.038046689321468,360,806169.0,True,1.15,AP201710-2-86
other,male,2011-01-01,60623,11251.0,personal,7.011371859635822,18,201.0,False,0.17,AP20111-1-50
hispanic/latino,female,2018-10-01,60625,11326.0,home,7.6442461013500065,240,70544.0,False,2.19,AP201810-1-0
black,male,2016-09-01,60623,26240.0,personal,5.464519629444104,48,12509.0,True,0.4,AP20169-3-58
white,male,2016-04-01,60614,84532.0,home,4.270812438240934,360,527767.0,True,0.37,AP20164-0-98
black,female,2012-06-01,60626,37686.0,personal,8.655180438545582,48,3632.0,False,0.16,AP20126-3-9
black,female,2015-03-01,60637,22807.0,auto,3.5647600036913105,84,25950.0,False,0.11,AP20153-2-49
other,female,2015-12-01,60615,28170.0,home,6.923640166357228,300,213832.0,False,0.24,AP201512-3-34
black,female,2016-06-01,60623,13404.0,auto,5.668665943427096,60,6069.0,False,0.38,AP20166-0-72
white,female,2017-06-01,60614,22482.0,personal,12.820841193636166,48,10930.0,True,1.04,AP20176-2-66
white,female,2016-03-01,60614,179429.0,home,0.770148044193841,360,1261609.0,True,0.36,AP20163-0-5
white,male,2012-05-01,60614,145437.0,auto,3.323366510784349,72,1200.0,False,0.16,AP20125-1-10
black,male,2013-05-01,60623,20920.0,personal,7.706672259294314,60,8832.0,True,0.11,AP20135-3-54
other,female,2017-11-01,60637,27873.0,auto,7.088902306575337,84,3982.0,False,1.16,AP201711-0-5
white,female,2016-05-01,60625,73538.0,home,2.1697813264274126,360,569412.0,True,0.37,AP20165-2-80
white,male,2017-01-01,60614,111149.0,home,3.3177426191710464,360,862181.0,True,0.65,AP20171-3-21
White,male,2011-08-01,60625,20490.0,personal,10.922488562503224,18,6973.0,False,0.1,AP20118-2-44
asian,male,2012-08-01,60625,129276.0,home,1.8185201474746138,180,941172.0,False,0.13,AP20128-3-94
black,male,2018-11-01,60637,53173.0,auto,6.966121846523693,72,19066.0,False,2.2,AP201811-1-73
other,male,2014-01-01,60626,2799.0,personal,0.814186069574873,24,74.0,False,0.07,AP20141-3-6
other,female,2015-02-01,60625,104748.0,home,0.415363334434952,300,628122.0,False,0.11,AP20152-1-97
white,female,2012-11-01,60626,29910.0,personal,6.674169748230566,18,9372.0,False,0.16,AP201211-3-70
white,male,2011-02-01,60614,1804.0,auto,6.115211911236496,60,14849.0,False,0.16,AP20112-2-72
Black,female,2012-07-01,60623,12068.0,auto,4.581788969091036,72,13790.0,False,0.16,AP20127-0-4
black,male,2018-12-01,60637,34075.0,auto,7.0780574855639475,72,42924.0,False,2.27,AP201812-0-90
hispanic/latino,male,2012-06-01,60623,25562.0,personal,3.6279080891748317,24,9041.0,False,0.16,AP20126-3-41
asian,female,2018-09-01,60611,51178.0,home,8.109515805197189,300,426338.0,True,1.95,AP20189-3-13
asian,male,2017-10-01,60614,80134.0,personal,6.712770786523251,24,3027.0,False,1.15,AP201710-3-52
white,male,2012-10-01,60637,16909.0,auto,5.487079927439955,60,2225.0,False,0.16,AP201210-2-23
other,female,2018-09-01,60614,,auto,6.336867576248932,72,22100.0,True,1.95,AP20189-1-78
hispanic/latino,male,2016-05-01,60626,89576.0,personal,13.16693578343538,24,15634.0,True,0.37,AP20165-1-10
black,female,2015-03-01,60615,57765.0,home,6.219689554841287,300,357768.0,False,0.11,AP20153-0-58
hispanic/latino,male,2015-07-01,60626,59731.0,home,1.9828652622280867,240,,False,0.13,AP20157-0-49
white,female,2017-02-01,60615,33785.0,personal,9.47233216181105,24,12470.0,True,0.66,AP20172-3-3
black,non-binary,2013-07-01,60615,108569.0,auto,5.086819009518918,72,59262.0,True,0.09,AP20137-2-54
white,female,2015-02-01,60626,105443.0,home,3.200163262851478,300,676521.0,False,0.11,AP20152-3-96
black,male,2016-09-01,60623,41492.0,auto,7.3211835358131685,84,8137.0,False,0.4,AP20169-2-9
white,male,2017-02-01,60637,51702.0,auto,6.181845968730107,72,17406.0,False,0.66,AP20172-3-85
white,male,2017-10-01,60614,113556.0,personal,15.291398322691814,60,1479.0,False,1.15,AP201710-0-34
black,female,2015-07-01,60623,64841.0,home,4.4895021615514885,360,489045.0,False,0.13,AP20157-3-56
white,female,2016-10-01,60614,29597.0,auto,4.650137313987938,72,4213.0,False,0.4,AP201610-1-32
black,female,2015-08-01,60623,72158.0,home,0.7797376489428539,300,413428.0,False,0.14,AP20158-0-70
white,male,2015-06-01,60637,39728.0,home,5.836903370875357,180,272728.0,False,0.13,AP20156-0-79
black,female,2018-10-01,60615,23504.0,auto,5.861985847157561,72,12346.0,False,2.19,AP201810-3-87
black,male,2011-02-01,60637,2223.0,auto,3.720078544763818,72,16404.0,False,0.16,AP20112-3-23
black,female,2018-11-01,60615,56696.0,auto,6.4144063241813365,60,6140.0,False,2.2,AP201811-0-99
other,female,2017-01-01,60626,15907.0,personal,15.710865164093718,18,1967.0,False,0.65,AP20171-0-0
other,female,2013-03-01,60625,80704.0,personal,3.51153541016116,48,27802.0,True,0.14,AP20133-1-3
Black,female,2015-03-01,60623,6680.0,personal,9.852255937451472,18,2074.0,False,0.11,AP20153-3-31
hispanic/latino,male,2016-03-01,60623,12111.0,personal,6.5050626283451765,18,973.0,False,0.36,AP20163-3-11
black,female,2014-11-01,60637,28640.0,home,2.5844589742311412,240,184569.0,False,0.09,AP201411-1-12
hispanic/latino,female,2016-02-01,60623,23097.0,home,0.8463907422249043,360,127750.0,False,0.38,AP20162-2-78
white,female,2017-11-01,60615,34198.0,auto,8.041510976358927,72,12738.0,False,1.16,AP201711-2-65
Black,female,2015-10-01,60623,,home,2.395042020787727,180,243696.0,False,0.12,AP201510-2-71
white,female,2011-01-01,60614,15893.0,personal,13.982159543231703,24,,False,0.17,AP20111-2-7
white,female,2018-11-01,60614,107583.0,personal,13.224937335942116,12,24679.0,True,2.2,AP201811-3-83
hispanic/latino,female,2013-03-01,60623,11488.0,personal,10.27201717343138,18,1824.0,False,0.14,AP20133-1-62
,male,2017-10-01,60625,99562.0,home,2.1528310474436476,360,878739.0,True,1.15,AP201710-2-95
black,female,2012-01-01,60623,16405.0,personal,15.272187195047882,12,5229.0,False,0.08,AP20121-3-2
hispanic/latino,male,2015-10-01,60623,31049.0,auto,7.001204250505605,72,15.0,False,0.12,AP201510-1-26
black,male,2015-09-01,60623,,auto,5.134740074450237,72,8688.0,False,0.14,AP20159-0-72
white,female,2013-01-01,60626,,home,8.324538717029338,360,408224.0,True,0.14,AP20131-1-29
black,female,2016-10-01,60615,,auto,4.82738846005009,72,9282.0,False,0.4,AP201610-2-90
white,female,2016-10-01,60626,7129.0,personal,14.098780689407217,48,3183.0,False,0.4,AP201610-0-26
white,male,2017-11-01,60611,,home,3.4174383935231445,360,434162.0,True,1.16,AP201711-1-80
other,female,2013-01-01,60626,50947.0,home,4.802047807421357,240,402263.0,False,0.14,AP20131-1-97
other,female,2013-07-01,60626,33325.0,auto,5.127318789004207,60,7500.0,False,0.09,AP20137-1-95
white,female,2016-03-01,60614,89458.0,auto,5.04851707009111,84,76922.0,True,0.36,AP20163-1-70
white,female,2018-11-01,60625,18620.0,personal,10.84801664932603,24,2330.0,False,2.2,AP201811-0-42
white,female,2017-05-01,60614,,personal,13.06466691460416,60,19008.0,True,0.91,AP20175-1-88
white,male,2016-10-01,60611,4273.0,personal,,12,199.0,False,0.4,AP201610-1-24
white,male,2018-12-01,60626,63209.0,home,3.8383368651613923,240,369927.0,False,2.27,AP201812-3-84
black,female,2017-03-01,60623,,home,3.2792096175441316,360,545627.0,False,0.79,AP20173-0-91
white,male,2018-05-01,60625,38803.0,home,5.292157079428185,300,275136.0,True,1.7,AP20185-0-50
hispanic/latino,female,2017-09-01,60626,77665.0,home,1.6649942098752137,180,705316.0,False,1.15,AP20179-2-68
hispanic/latino,female,2016-02-01,60623,7134.0,auto,4.733587596188338,84,16656.0,False,0.38,AP20162-3-46
black,female,2012-08-01,60615,3045.0,personal,8.254190349919632,48,103.0,False,0.13,AP20128-3-55
asian,male,2015-09-01,60614,142734.0,home,5.41168174910715,360,959038.0,True,0.14,AP20159-1-10
black,male,2017-08-01,60615,,auto,7.798202783675125,72,39180.0,False,1.16,AP20178-2-26
other,female,2013-07-01,60614,13070.0,personal,7.901058844051258,48,5038.0,False,0.09,AP20137-1-60
hispanic/latino,male,2014-06-01,60625,66864.0,auto,5.360770634008488,84,7872.0,True,0.1,AP20146-1-82
black,male,2015-03-01,60637,56653.0,personal,0.16276281878189158,48,2285.0,False,0.11,AP20153-3-45
,female,2017-02-01,60625,19751.0,personal,2.3875271346156772,18,8136.0,False,0.66,AP20172-0-63
,female,2017-12-01,60625,71274.0,auto,5.55695609231938,72,39699.0,True,1.3,AP201712-3-61
black,female,2018-09-01,60637,10881.0,auto,6.649804172227285,60,21149.0,False,1.95,AP20189-0-4
black,female,2018-04-01,60615,65265.0,home,5.902479149577738,300,586286.0,True,1.69,AP20184-0-37
white,female,2014-03-01,60623,39420.0,auto,5.67974345012774,72,26622.0,False,0.08,AP20143-3-41
hispanic/latino,female,2012-07-01,60623,56670.0,home,4.068246470001747,360,314241.0,False,0.16,AP20127-2-73
black,male,2016-10-01,60637,11956.0,personal,18.98713456563586,48,2713.0,True,0.4,AP201610-0-1
black,male,2017-06-01,60623,73900.0,home,2.007459882472237,360,450985.0,False,1.04,AP20176-1-35
white,male,2016-03-01,60626,105535.0,auto,5.065421875396132,84,61247.0,True,0.36,AP20163-3-78
hispanic/latino,female,2017-12-01,60623,19807.0,auto,6.44147228684061,60,2290.0,False,1.3,AP201712-1-30
hispanic/latino,male,2016-02-01,60623,35381.0,personal,15.834634025200094,24,3312.0,False,0.38,AP20162-3-68
hispanic/latino,female,2013-11-01,60626,8022.0,auto,5.878849201809107,60,12182.0,False,0.08,AP201311-0-1
black,male,2013-08-01,60637,116728.0,personal,8.286816933799125,18,34809.0,True,0.08,AP20138-0-78
black,female,2015-03-01,60637,41292.0,home,5.516263616026576,360,368266.0,False,0.11,AP20153-0-34
black,female,2017-12-01,60637,,personal,12.52703742710912,48,6750.0,True,1.3,AP201712-0-17
black,male,2011-06-01,60626,5826.0,personal,13.076054200672111,12,869.0,False,0.09,AP20116-0-19
white,female,2018-04-01,60611,,auto,6.461056553156432,72,36968.0,True,1.69,AP20184-0-14
hispanic/latino,female,2018-11-01,60625,18277.0,personal,7.863649653284444,24,7377.0,False,2.2,AP201811-3-12
black,female,2014-07-01,60623,15518.0,auto,5.345148667511975,72,6157.0,False,0.09,AP20147-0-24
white,male,2016-11-01,60626,42030.0,auto,5.931432646517908,72,7026.0,False,0.41,AP201611-0-1
black,male,2017-09-01,60614,143132.0,auto,6.506470342033918,72,108628.0,True,1.15,AP20179-2-70
hispanic/latino,male,2018-10-01,60625,949.0,personal,4.059902379879482,48,497.0,False,2.19,AP201810-3-72
white,female,2017-11-01,60614,171925.0,auto,5.615969104085666,84,10330.0,True,1.16,AP201711-0-6
black,female,2013-05-01,60615,,personal,11.611568538003102,48,19881.0,True,0.11,AP20135-3-66
white,female,2015-12-01,60626,51703.0,personal,3.7921213322435783,48,14143.0,True,0.24,AP201512-2-48
hispanic/latino,female,2012-07-01,60623,38037.0,home,1.2925577852846477,360,323675.0,False,0.16,AP20127-3-71
black,female,2014-11-01,60623,19333.0,personal,5.17196856024526,60,7891.0,True,0.09,AP201411-2-17
white,female,2012-05-01,60615,63961.0,home,4.289538031220623,240,520039.0,False,0.16,AP20125-1-0
white,female,2016-08-01,60625,83320.0,home,0.6750176581773443,300,613763.0,False,0.4,AP20168-2-48
hispanic/latino,female,2014-07-01,60623,55853.0,auto,3.7730595056092158,72,20699.0,False,0.09,AP20147-0-13
hispanic/latino,male,2012-10-01,60611,165280.0,auto,5.499907174052177,72,159142.0,True,0.16,AP201210-2-89
asian,male,2011-07-01,60611,41322.0,personal,7.686408075310579,18,5730.0,False,0.07,AP20117-0-9
black,male,2016-10-01,60615,44677.0,auto,6.027806081818458,72,642.0,False,0.4,AP201610-1-25
white,male,2011-01-01,60625,23702.0,auto,5.245461182523359,84,4016.0,False,0.17,AP20111-2-89
black,female,2017-11-01,60615,84386.0,auto,6.404320884486304,72,12711.0,False,1.16,AP201711-1-6
other,female,2017-03-01,60626,27936.0,personal,14.783712457475897,60,8096.0,True,0.79,AP20173-3-78
other,male,2017-02-01,60611,140822.0,home,5.383385264375466,300,1318784.0,True,0.66,AP20172-3-75
white,female,2016-08-01,60611,179438.0,home,4.5034899271564,180,1191742.0,False,0.4,AP20168-3-86
other,female,2016-11-01,60623,,personal,13.569206818099731,60,5559.0,True,0.41,AP201611-2-22
white,female,2017-08-01,60614,113158.0,auto,5.157692545581527,72,23533.0,True,1.16,AP20178-1-23
white,male,2018-03-01,60611,278658.0,auto,6.961423518590419,72,305624.0,True,1.51,AP20183-0-3
other,male,2017-05-01,60637,74285.0,home,5.363895069579317,180,395961.0,False,0.91,AP20175-1-55
black,male,2015-10-01,60615,80049.0,home,2.3533052477073317,180,563832.0,False,0.12,AP201510-2-15
Black,male,2016-03-01,60637,46123.0,home,3.662956697088768,360,407083.0,False,0.36,AP20163-2-26
black,male,2018-09-01,60637,19218.0,personal,8.499179357563673,12,2595.0,False,1.95,AP20189-2-28
white,male,2012-08-01,60637,534.0,personal,8.222015070365737,12,61.0,False,0.13,AP20128-3-33
black,male,2016-06-01,60611,227348.0,personal,15.87488859729168,18,102228.0,True,0.38,AP20166-2-69
white,male,2016-10-01,60611,13679.0,personal,12.133326396752155,24,3854.0,False,0.4,AP201610-3-100
hispanic/latino,male,2016-11-01,60625,,personal,20.468075104609614,48,3813.0,True,0.41,AP201611-2-6
black,male,2013-02-01,60623,54519.0,home,3.265601603533622,240,391190.0,False,0.15,AP20132-2-56
other,female,2015-09-01,60615,16508.0,personal,4.9353382994839485,24,3232.0,False,0.14,AP20159-3-67
black,female,2013-09-01,60637,52387.0,home,0.741746145803078,360,339563.0,False,0.08,AP20139-0-57
white,male,2016-06-01,60614,59766.0,personal,13.621064694980928,60,1200.0,False,0.38,AP20166-2-49
asian,female,2018-08-01,60626,76207.0,home,2.0974749096817265,300,510936.0,False,1.91,AP20188-3-65
Black,female,2018-05-01,60623,34092.0,auto,7.066453031989226,72,17827.0,False,1.7,AP20185-1-38
